DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"Adams","Washington","US",19983,3294,0,0.00,225,10.74,273,1.44,300,21.95,543,0.43,603,17.94,658,6.31
Confirmed,"Asotin","Washington","US",22581,2914,0,0.00,294,18.01,336,5.37,356,13.70,405,0.89,601,19.15,658,7.77
Confirmed,"Benton","Washington","US",204390,31729,0,0.00,174,66.18,226,12.15,321,144.90,416,19.38,571,173.89,658,38.01
Confirmed,"Chelan","Washington","US",77200,11563,0,0.00,191,31.80,245,6.72,320,63.46,529,3.13,584,61.00,658,41.88
Confirmed,"Clallam","Washington","US",77331,5026,0,0.00,202,5.68,263,0.92,305,11.60,404,1.25,595,60.94,658,16.93
Confirmed,"Clark","Washington","US",488241,43227,0,0.00,349,187.18,408,34.25,464,100.50,527,17.05,587,216.03,658,127.55
Confirmed,"Columbia","Washington","US",3984,370,0,0.00,152,0.73,270,0.00,314,2.42,442,0.00,586,4.35,658,0.58
Confirmed,"Cowlitz","Washington","US",110593,13910,0,0.00,357,50.00,417,10.89,450,29.26,529,7.70,578,90.33,658,36.99
Confirmed,"Douglas","Washington","US",43429,6277,0,0.00,191,22.47,253,3.11,321,32.58,485,1.56,597,36.95,658,19.24
Confirmed,"Ferry","Washington","US",7627,859,0,0.00,315,5.98,385,0.15,455,6.11,535,0.14,631,9.14,658,1.62
Confirmed,"Franklin","Washington","US",95221,20433,0,0.00,165,64.81,238,10.75,321,97.89,504,8.46,596,99.38,658,23.18
Confirmed,"Garfield","Washington","US",2224,253,0,0.00,288,2.28,323,0.23,340,1.68,456,0.00,629,2.61,658,0.24
Confirmed,"Grant","Washington","US",97733,16547,0,0.00,205,42.47,277,8.58,322,61.67,527,4.95,599,83.98,658,36.98
Confirmed,"Grays Harbor","Washington","US",75061,8956,0,0.00,337,47.53,434,3.90,478,23.63,524,2.75,614,66.49,658,23.85
Confirmed,"Island","Washington","US",85141,4165,0,0.00,65,9.65,122,0.14,351,12.11,526,1.48,577,27.86,658,17.12
Confirmed,"Jefferson","Washington","US",32221,1144,0,0.00,63,1.27,94,-0.02,300,3.74,413,0.03,595,12.26,658,3.29
Confirmed,"King","Washington","US",2252781,168039,0,0.00,320,776.35,407,152.91,462,403.20,526,62.27,569,624.46,658,351.57
