Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Indiana","Adams",18001,35777,5594,81,15635.74,2264.02,0.0145,5,73,88,80,1.23,5,1,0.001,0.012,0.1961,113,167,152,3.83,40,0,0.007,0.000,0.0000,171,508,297,147.22,3400,54,0.608,0.669,0.0159,508,640,587,60.54,1399,21,0.250,0.257,0.0149,640,690,685,60.43,758,6,0.135,0.068,0.0073
"US","Indiana","Allen",18003,379299,69565,903,18340.41,2380.71,0.0130,5,62,167,129,13.27,2812,130,0.040,0.143,0.0461,167,411,299,108.77,33431,518,0.481,0.573,0.0155,411,512,446,21.57,5497,47,0.079,0.052,0.0085,512,634,588,67.79,15801,103,0.227,0.114,0.0065,634,690,681,93.44,12243,111,0.176,0.123,0.0090
"US","Indiana","Bartholomew",18005,83779,13464,195,16070.85,2327.55,0.0145,5,57,154,95,13.73,570,47,0.042,0.242,0.0830,154,239,206,18.74,565,19,0.042,0.095,0.0328,239,433,302,99.98,6567,86,0.488,0.441,0.0131,515,647,589,78.23,3659,24,0.272,0.124,0.0066,647,690,683,77.94,1656,14,0.123,0.073,0.0086
"US","Indiana","Benton",18007,8748,1746,18,19958.85,2057.61,0.0103,5,251,414,323,182.10,839,13,0.481,0.724,0.0155,433,483,448,31.09,58,1,0.034,0.047,0.0145,483,539,526,39.78,89,1,0.051,0.053,0.0106,539,640,589,135.80,432,2,0.247,0.118,0.0049,640,690,681,117.51,237,1,0.136,0.060,0.0046
"US","Indiana","Blackford",18009,11757,2309,44,19639.36,3742.45,0.0191,5,66,154,126,6.72,33,2,0.014,0.046,0.0607,154,402,350,129.71,1172,25,0.507,0.570,0.0214,402,505,420,49.93,155,5,0.067,0.114,0.0322,505,652,626,85.14,655,11,0.284,0.251,0.0168,652,690,684,94.16,300,1,0.130,0.023,0.0034
"US","Indiana","Boone",18011,67843,10139,127,14944.80,1871.97,0.0125,5,58,131,79,10.67,314,35,0.031,0.277,0.1122,131,234,220,11.66,605,16,0.060,0.126,0.0263,234,519,321,95.63,6077,52,0.599,0.407,0.0085,519,639,601,45.43,1957,13,0.193,0.104,0.0067,639,690,682,58.27,1215,12,0.120,0.092,0.0096
"US","Indiana","Brown",18013,15092,1843,50,12211.77,3313.01,0.0271,5,141,226,180,9.87,55,1,0.030,0.021,0.0193,226,414,317,78.12,864,38,0.469,0.761,0.0441,414,516,444,14.51,89,3,0.049,0.061,0.0342,516,623,584,53.60,366,4,0.198,0.081,0.0111,623,690,681,67.59,438,3,0.238,0.061,0.0069
"US","Indiana","Carroll",18015,20256,3100,41,15304.11,2024.09,0.0132,5,154,240,199,31.69,164,11,0.053,0.268,0.0669,240,418,324,111.08,1511,6,0.488,0.148,0.0040,418,516,439,15.11,160,1,0.051,0.025,0.0065,516,633,589,52.82,657,12,0.212,0.299,0.0186,633,690,685,85.21,513,9,0.165,0.215,0.0172
"US","Indiana","Cass",18017,37689,8390,130,22261.14,3449.28,0.0155,5,66,148,96,306.72,1612,9,0.192,0.069,0.0056,222,442,320,102.31,3781,92,0.451,0.708,0.0243,442,525,478,24.89,392,8,0.047,0.062,0.0204,525,643,589,87.40,1569,13,0.187,0.097,0.0080,643,690,680,86.90,798,8,0.095,0.060,0.0098
"US","Indiana","Clark",18019,118302,20654,283,17458.71,2392.18,0.0137,5,58,143,96,11.26,562,42,0.027,0.149,0.0750,143,233,202,21.21,1388,12,0.067,0.044,0.0089,233,512,349,97.67,11278,140,0.546,0.493,0.0124,512,647,580,78.06,5710,64,0.276,0.226,0.0112,647,690,681,51.66,1779,26,0.086,0.093,0.0148
"US","Indiana","Clay",18021,26224,4763,62,18162.75,2364.25,0.0130,5,153,237,206,26.24,223,2,0.047,0.029,0.0081,237,418,304,151.16,2157,39,0.453,0.627,0.0180,418,498,445,15.29,206,3,0.043,0.049,0.0146,498,650,600,99.83,1711,13,0.359,0.210,0.0076,650,690,682,61.43,423,2,0.089,0.032,0.0047
"US","Indiana","Clinton",18023,32399,6452,81,19914.19,2500.08,0.0126,5,158,232,197,31.33,301,10,0.047,0.121,0.0325,232,412,322,153.62,3409,42,0.528,0.520,0.0123,412,483,449,23.40,313,0,0.049,0.000,0.0000,520,651,602,51.73,1461,18,0.226,0.227,0.0126,651,690,685,69.35,564,8,0.087,0.099,0.0143
"US","Indiana","Crawford",18025,10577,1736,29,16412.97,2741.80,0.0167,5,62,133,75,9.93,24,0,0.014,0.000,0.0000,153,458,321,107.69,954,14,0.550,0.483,0.0147,458,511,476,20.23,43,2,0.025,0.069,0.0463,529,658,585,134.44,615,13,0.355,0.448,0.0211,658,690,686,50.11,97,0,0.056,0.005,0.0014
"US","Indiana","Daviess",18027,33351,5225,119,15666.70,3568.11,0.0228,5,150,246,213,35.77,530,12,0.101,0.099,0.0223,246,426,305,100.18,2218,70,0.424,0.587,0.0315,426,515,465,14.18,164,3,0.031,0.025,0.0178,515,653,597,87.46,1740,16,0.333,0.135,0.0092,653,690,685,55.44,459,3,0.088,0.027,0.0069
"US","Indiana","DeKalb",18033,43475,8156,112,18760.21,2576.19,0.0137,5,91,175,140,14.70,158,4,0.019,0.036,0.0257,175,421,317,103.94,3750,75,0.460,0.671,0.0200,421,510,453,23.60,473,5,0.058,0.045,0.0108,510,630,589,65.74,1817,11,0.223,0.098,0.0060,630,690,680,116.23,1970,17,0.241,0.148,0.0084
"US","Indiana","Dearborn",18029,49457,9208,103,18618.19,2082.62,0.0112,5,133,224,183,21.13,409,8,0.044,0.075,0.0190,224,434,301,107.59,5021,44,0.545,0.427,0.0088,434,511,449,13.04,301,5,0.033,0.050,0.0171,511,646,603,82.44,2420,17,0.263,0.168,0.0072,646,690,683,63.09,909,8,0.099,0.081,0.0091
"US","Indiana","Decatur",18031,26559,4763,111,17933.66,4179.37,0.0233,5,55,143,80,26.36,236,32,0.050,0.288,0.1357,143,245,190,17.21,220,7,0.046,0.063,0.0319,245,425,295,120.67,2288,53,0.480,0.478,0.0232,527,643,587,98.61,1294,12,0.272,0.107,0.0092,643,690,685,70.26,574,8,0.121,0.068,0.0132
"US","Indiana","Delaware",18035,114134,17363,308,15212.82,2698.58,0.0177,5,59,150,118,8.72,406,45,0.023,0.147,0.1115,150,419,319,80.27,9579,136,0.552,0.442,0.0142,419,519,468,15.60,996,17,0.057,0.056,0.0172,519,642,588,70.33,4215,66,0.243,0.214,0.0156,642,690,683,69.54,2199,45,0.127,0.147,0.0206
"US","Indiana","Dubois",18037,42736,9000,143,21059.53,3346.13,0.0159,5,65,145,116,28.50,239,5,0.027,0.032,0.0194,145,225,182,39.57,618,13,0.069,0.088,0.0204,225,516,330,185.32,5368,101,0.596,0.707,0.0188,516,650,589,94.07,2174,16,0.242,0.112,0.0074,650,690,682,52.51,616,9,0.068,0.065,0.0151
"US","Indiana","Elkhart",18039,206341,41298,554,20014.44,2684.88,0.0134,5,62,216,147,33.23,5405,97,0.131,0.175,0.0180,216,400,297,151.65,19931,316,0.483,0.571,0.0159,400,523,450,29.79,4169,50,0.101,0.090,0.0120,523,638,601,57.18,6510,47,0.158,0.085,0.0072,638,690,680,77.55,5394,47,0.131,0.085,0.0087
"US","Indiana","Fayette",18041,23102,4754,101,20578.30,4371.92,0.0212,5,150,237,212,32.77,316,6,0.066,0.058,0.0185,237,438,278,115.27,2360,48,0.496,0.475,0.0203,438,515,473,13.55,92,4,0.019,0.036,0.0392,520,645,589,136.01,1257,24,0.264,0.239,0.0192,645,690,682,146.74,652,13,0.137,0.132,0.0204
"US","Indiana","Floyd",18043,78522,12295,232,15658.03,2954.59,0.0189,5,57,141,114,9.97,330,43,0.027,0.184,0.1297,141,229,189,19.51,818,23,0.067,0.100,0.0283,229,500,352,80.68,6606,114,0.537,0.490,0.0172,500,647,587,71.95,3534,39,0.287,0.166,0.0109,647,690,685,44.99,1036,15,0.084,0.064,0.0144
"US","Indiana","Fountain",18045,16346,3911,67,23926.34,4098.86,0.0171,5,150,208,186,9.79,53,0,0.014,0.000,0.0000,208,430,317,167.20,1975,42,0.505,0.626,0.0212,430,472,454,14.25,72,2,0.018,0.033,0.0311,472,639,596,143.40,1246,14,0.319,0.203,0.0109,639,690,684,120.09,550,8,0.141,0.118,0.0143
"US","Indiana","Franklin",18047,22758,3035,44,13335.97,1933.39,0.0145,5,54,114,69,17.18,106,7,0.035,0.160,0.0667,141,232,193,27.07,166,17,0.055,0.387,0.1025,232,517,306,75.01,1421,10,0.468,0.228,0.0071,536,648,599,82.92,982,8,0.323,0.184,0.0082,648,690,685,60.95,351,1,0.116,0.021,0.0027
"US","Indiana","Fulton",18049,19973,3743,75,18740.30,3755.07,0.0200,5,135,227,190,20.28,159,1,0.043,0.014,0.0064,227,480,297,102.04,1752,38,0.468,0.507,0.0217,480,526,504,14.67,86,3,0.023,0.042,0.0365,526,644,603,95.13,1139,25,0.304,0.332,0.0218,644,689,680,80.91,563,7,0.151,0.095,0.0126
