DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","Adygea Republic","Russia",453375,22356,0,0.00,132,109.56,174,18.27,188,33.30,210,17.77,326,101.11,495,7.66,566,58.29,618,49.80,658,79.79,658,79.79
Confirmed,"","Altai Krai","Russia",2350080,93534,0,0.00,132,247.01,142,68.30,174,222.64,231,62.12,297,235.37,499,57.44,561,276.05,601,235.38,658,506.16,658,506.16
Confirmed,"","Altai Republic","Russia",218063,23437,0,0.00,163,34.32,200,14.59,277,172.23,349,44.30,360,62.86,470,3.13,542,55.16,597,28.51,647,55.72,658,49.99
Confirmed,"","Amur Oblast","Russia",798424,41704,0,0.00,132,72.98,164,31.03,174,40.07,204,17.09,294,165.08,458,11.76,564,140.39,602,117.42,658,204.83,658,204.83
Confirmed,"","Arkhangelsk Oblast","Russia",1155027,105048,0,0.00,132,299.80,224,65.07,288,363.09,300,342.33,326,399.80,474,52.81,581,265.20,595,252.62,656,464.53,658,464.01
Confirmed,"","Astrakhan Oblast","Russia",1017514,68836,0,0.00,132,243.32,186,33.24,335,180.34,352,170.65,364,183.42,503,40.54,554,288.81,616,169.08,656,257.60,658,257.31
Confirmed,"","Bashkortostan Republic","Russia",4063293,92864,0,0.00,132,416.99,164,46.65,176,51.65,232,30.51,346,167.85,354,166.03,368,167.61,488,89.33,651,669.99,658,669.67
Confirmed,"","Belgorod Oblast","Russia",1549876,65934,0,0.00,132,302.57,188,42.51,204,49.34,221,41.62,347,187.32,501,60.63,565,150.16,584,142.98,652,348.41,658,342.46
Confirmed,"","Bryansk Oblast","Russia",1210982,81411,0,0.00,131,466.92,210,24.60,290,163.55,307,135.11,338,201.64,477,63.18,533,326.77,598,152.50,658,514.23,658,514.23
Confirmed,"","Buryatia Republic","Russia",984511,64920,0,0.00,132,189.76,200,31.09,306,271.50,353,147.11,361,151.57,470,25.68,528,317.74,600,78.72,658,202.64,658,202.64
Confirmed,"","Chechen Republic","Russia",1436981,26453,0,0.00,131,146.73,170,9.29,188,12.02,246,5.11,322,142.51,480,9.22,575,166.00,603,61.50,649,117.34,658,114.88
Confirmed,"","Chelyabinsk Oblast","Russia",3493036,114556,0,0.00,132,383.02,142,131.81,152,179.04,227,63.05,336,310.71,501,85.53,576,381.03,604,364.91,658,559.52,658,559.52
Confirmed,"","Chukotka Autonomous Okrug","Russia",49348,2553,0,0.00,132,10.92,224,0.37,306,7.70,320,3.49,330,6.28,470,0.12,546,14.01,589,8.41,658,18.26,658,18.26
Confirmed,"","Chuvashia Republic","Russia",1231117,39606,0,0.00,132,370.94,237,25.93,328,129.04,353,94.87,363,106.25,418,41.87,460,53.51,503,46.71,658,179.68,658,179.68
Confirmed,"","Dagestan Republic","Russia",3063884,57639,0,0.00,131,626.07,186,40.70,355,158.34,419,37.81,473,45.82,485,35.75,551,201.84,619,116.25,658,162.98,658,162.98
Confirmed,"","Ingushetia Republic","Russia",488043,24471,0,0.00,131,253.78,178,19.41,187,22.07,194,19.59,338,88.28,443,9.48,577,70.91,602,59.83,658,81.07,658,81.07
Confirmed,"","Irkutsk Oblast","Russia",2404195,126930,0,0.00,132,293.29,139,173.67,163,239.53,231,72.83,315,274.63,499,110.92,559,398.36,606,372.35,658,535.10,658,535.10
Confirmed,"","Ivanovo Oblast","Russia",1014646,57602,0,0.00,132,281.28,194,24.88,344,187.17,415,62.13,430,65.79,503,57.97,573,126.27,599,114.83,651,227.30,658,226.62
Confirmed,"","Jewish Autonomous Okrug","Russia",162014,9707,0,0.00,131,36.90,211,2.21,286,44.39,360,12.18,369,14.34,464,0.22,576,40.63,610,33.20,656,45.82,658,45.79
Confirmed,"","Kabardino-Balkarian Republic","Russia",865828,36440,0,0.00,131,358.12,198,15.00,274,91.79,291,83.90,340,102.24,504,13.20,569,88.60,606,67.49,658,135.37,658,135.37
Confirmed,"","Kaliningrad Oblast","Russia",994599,68547,0,0.00,131,190.95,174,12.43,344,215.08,434,46.51,482,61.29,493,50.90,544,231.38,572,174.00,649,391.89,658,391.70
Confirmed,"","Kalmykia Republic","Russia",275413,32783,0,0.00,131,127.12,147,10.66,163,56.69,183,20.93,280,95.62,303,75.55,337,105.27,461,10.95,553,116.69,658,45.51
Confirmed,"","Kaluga Oblast","Russia",1012055,54953,0,0.00,131,486.74,189,24.45,215,28.95,226,28.24,338,170.36,497,49.61,554,136.50,601,100.39,658,206.17,658,206.17
Confirmed,"","Kamchatka Krai","Russia",315556,21457,0,0.00,132,118.15,203,15.09,211,18.81,220,13.02,325,81.29,486,7.03,561,54.61,612,40.17,658,46.40,658,46.40
Confirmed,"","Karachay-Cherkess Republic","Russia",466305,28364,0,0.00,132,164.81,140,85.26,147,92.16,196,10.82,322,96.27,447,12.01,557,58.03,602,45.79,658,85.87,658,85.87
Confirmed,"","Karelia Republic","Russia",622484,77380,0,0.00,132,62.96,205,21.37,318,451.01,355,249.58,363,277.24,471,41.07,532,199.06,596,137.11,640,339.44,658,281.84
Confirmed,"","Kemerovo Oblast","Russia",2694877,66496,0,0.00,132,76.30,145,37.05,289,194.10,426,46.75,457,67.55,494,55.46,554,202.91,612,163.94,658,325.19,658,325.19
Confirmed,"","Khabarovsk Krai","Russia",1328302,98922,0,0.00,132,269.63,142,69.02,184,121.90,228,60.64,335,341.85,469,21.59,542,330.70,616,282.86,658,494.92,658,494.92
Confirmed,"","Khakassia Republic","Russia",537513,46049,0,0.00,131,122.13,142,28.91,172,40.81,205,17.88,314,181.22,440,13.26,551,178.56,599,107.89,654,227.36,658,224.14
Confirmed,"","Khanty-Mansi Autonomous Okrug","Russia",1532242,84715,0,0.00,132,354.53,140,173.55,155,293.88,220,67.62,328,227.69,480,44.89,555,195.63,595,143.55,649,258.90,658,255.50
Confirmed,"","Kirov Oblast","Russia",1283237,66353,0,0.00,132,230.69,159,37.30,320,250.27,494,53.64,520,116.57,537,107.18,568,124.95,591,112.31,658,263.60,658,263.60
